term_or_phrase,common_abbreviation,type,chinese,category,scenario,definition_en,definition_cn,example_sentence,translation,difficulty,source_section,knowledge_source,standard_classification,business_domain,term_frequency_level,business_scenario
agricultural produce,,phrase,农产品,Agriculture,harvested produce,The harvested product of an entity's biological assets.,农产品，是指主体生物资产的收获品。,Agricultural produce is measured at fair value less costs to sell at the point of harvest.,农产品于收获时按公允价值减出售成本进行计量。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 558; IAS 41 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 9929 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 10022,IFRS/HKFRS standards term library,IAS 41,Fair value / Valuation,5 - Very high / core,Valuation
biological asset,,phrase,生物资产,Agriculture,livestock; plants,A living animal or plant controlled by an entity.,生物资产，是指主体控制的活的动物或植物。,Biological assets are measured at fair value (see chapter 2.4) less costs to sell.,生物资产按公允价值（见第2.4节）减出售成本计量。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 557; IAS 41 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 9965 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 9973,IFRS/HKFRS standards term library,IAS 41,Fair value / Valuation,5 - Very high / core,Valuation
biological transformation,,phrase,生物转化,Agriculture,growth; degeneration; production; procreation,"The processes of growth, degeneration, production and procreation that cause qualitative or quantitative changes in a biological asset.",生物转化，是指导致生物资产发生质量或数量变化的生长、退化、生产和繁殖过程。,The note explains changes in biological transformation.,附注说明了生物转化的变动情况。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 560; IAS 41 | example: isg-2025-insights-an-overview.txt: line 1008 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 9994,IFRS/HKFRS standards term library,IAS 41,Agriculture,5 - Very high / core,Financial reporting
harvest,,term,收获,Agriculture,agricultural produce recognition,The detachment of produce from a biological asset or the cessation of a biological asset's life processes.,收获，是指从生物资产上分离农产品，或终止生物资产的生命过程。,"When possible, the Group manages this risk by aligning its harvest volume to market supply and demand.",在可行情况下，本集团通过使收获量与市场供需相匹配来管理该风险。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 561; IAS 41 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 9576 | example: isg-2026-ifs.txt: line 3066,IFRS/HKFRS standards term library,IAS 41,Agriculture,4 - High,Financial reporting
bearer plant,,phrase,生产性植物,Agriculture / PPE,plantation assets,"A living plant used in the production or supply of agricultural produce, expected to bear produce for more than one period and not usually sold as produce.",生产性植物，是指用于生产或供应农产品、预期在超过一个期间内产出农产品且通常不作为农产品出售的活植物。,Material changes in bearer plant are explained in the notes.,生产性资产的重大变动已在财务报表附注中说明。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 559; IAS 41 | example: isg-2025-insights-an-overview.txt: line 1007,IFRS/HKFRS standards term library,IAS 41,Agriculture,4 - High,Financial reporting
accounting estimates and related disclosures,,phrase,会计估计及相关披露,Audit,估计事项审计,"accounting estimates and related disclosures is a professional expression used in audit work, especially when assessing risks, obtaining evidence or reporting audit conclusions.",会计估计及相关披露，是审计工作中的专业表达，通常用于风险评估、审计证据获取或审计结论报告。,Impairment testing considers evidence related to accounting estimates and related disclosures.,减值测试考虑与会计估计及相关披露有关的证据。,intermediate,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 871 | example: isg-2026-ifs.txt: line 445,HK IPO audit deliverables,IAS 8,Audit,4 - High,Audit
cast significant doubt,,phrase,产生重大疑虑,Audit,持续经营能力评估,"cast significant doubt is a professional expression used in audit work, especially when assessing risks, obtaining evidence or reporting audit conclusions.",产生重大疑虑，是审计工作中的专业表达，通常用于风险评估、审计证据获取或审计结论报告。,Revenue accountants analyse cast significant doubt before recognising revenue.,收入会计人员在确认收入前会分析是否存在重大疑虑。,advanced,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 872 | example: Illust_FS(12.25).txt: line 1569 | example: Illust_FS(12.25).txt: line 2561,HK IPO audit deliverables,IFRS 15,Audit,4 - High,Audit
internal control relevant to the audit,,phrase,与审计相关的内部控制,Audit,设计审计程序,Controls that the auditor considers when designing audit procedures responsive to the assessed risks.,与审计相关的内部控制，是指审计师在设计应对已评估风险的审计程序时考虑的控制。,"Obtain an understanding of internal control relevant to the audit in order to design audit procedures that are appropriate in the circumstances, but not for the purpose of expressing an opinion on the effectiveness of internal control.",了解与审计相关的内部控制，以设计适合具体情况的审计程序，但目的并非对内部控制的有效性发表意见。,intermediate,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 869 | example: Illust_FS(12.25).txt: line 13149 | example: isg-2026-ifs.txt: line 444,HK IPO audit deliverables,IFRS 10,Audit,4 - High,Audit
material uncertainty,,phrase,重大不确定性,Audit,持续经营披露和审计报告,An uncertainty that may significantly affect users' assessment of matters such as going concern or recoverability.,重大不确定性，是指可能显著影响使用者评价持续经营、可收回性等事项的不确定性。,"If we conclude that a material uncertainty exists, we are required to draw attention in our auditors' report to the related disclosures in the financial statements.",若我们得出结论认为存在重大不确定性，则须在审计报告中提请使用者关注财务报表中的相关披露。,intermediate,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 872 | example: Illust_FS(12.25).txt: line 1570 | example: isg-2026-ifs.txt: line 446,HK IPO audit deliverables,General IFRS/HKFRS,Audit,5 - Very high / core,Audit
"overall presentation, structure and content",,phrase,整体列报、结构和内容,Audit,审计师评价财报列报,"overall presentation, structure and content is a professional expression used in audit work, especially when assessing risks, obtaining evidence or reporting audit conclusions.",整体列报、结构和内容，是审计工作中的专业表达，通常用于风险评估、审计证据获取或审计结论报告。,"Evaluate the overall presentation, structure and content of the consolidated financial statements, including the disclosures, and whether the consolidated financial statements represent the underlying transactions and events in a manner that achieves fair presentation.",评价合并财务报表的整体列报、结构和内容（包括披露），以及合并财务报表是否以公允列报的方式反映相关交易和事项。,advanced,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 877 | example: Illust_FS(12.25).txt: line 13161 | example: isg-2026-ifs.txt: line 447,HK IPO audit deliverables,IFRS 10,Audit,4 - High,Audit
professional judgement,,phrase,职业判断,Audit,审计风险评估和会计估计,"Judgement made by applying professional knowledge and experience to accounting, audit or reporting facts and circumstances.",职业判断，是指运用专业知识和经验，对会计、审计或报告中的事实和情况作出的判断。,"As part of an audit in accordance with HKSAs, we exercise professional judgement and maintain professional scepticism throughout the audit.",作为按照香港审计准则执行审计工作的一部分，我们在整个审计过程中运用专业判断并保持职业怀疑态度。,intermediate,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 863 | example: Illust_FS(12.25).txt: line 13066,HK IPO audit deliverables,General IFRS/HKFRS,Audit,4 - High,Audit
professional scepticism,,phrase,职业怀疑,Audit,审计全过程,An attitude that includes a questioning mind and a critical assessment of audit evidence.,职业怀疑态度，是指保持质疑思维并对审计证据进行批判性评价的态度。,Audit committees review significant judgements involving professional scepticism.,审计委员会复核涉及职业怀疑态度的重大判断事项。,intermediate,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 863,HK IPO audit deliverables,General IFRS/HKFRS,Audit,3 - Medium,Audit
risks of material misstatement,RMM,phrase,重大错报风险,Audit,风险评估和审计计划,Risks that the financial statements are materially misstated before audit procedures are performed.,重大错报风险，是指在实施审计程序前财务报表存在重大错报的风险。,"Identify and assess the risks of material misstatement of the consolidated financial statements, whether due to fraud or error, and design and perform audit procedures responsive to those risks.",识别和评估合并财务报表因舞弊或错误导致的重大错报风险，并设计和执行针对这些风险的审计程序。,intermediate,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 128 | example: Illust_FS(12.25).txt: line 13144 | example: isg-2026-ifs.txt: line 443,HK IPO audit deliverables,IFRS 10,Audit,4 - High,Audit
underlying transactions and events,,phrase,基础交易和事项,Audit,评价财报是否忠实反映交易事项,"underlying transactions and events is a professional expression used in audit work, especially when assessing risks, obtaining evidence or reporting audit conclusions.",基础交易和事项，是审计工作中的专业表达，通常用于风险评估、审计证据获取或审计结论报告。,Analysts review underlying transactions and events when evaluating period-to-period performance.,分析人员在评价各期业绩时会审阅基础交易和事项。,advanced,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 877 | example: Illust_FS(12.25).txt: line 1577 | example: isg-2026-ifs.txt: line 447,HK IPO audit deliverables,General IFRS/HKFRS,Audit,4 - High,Audit
whether due to fraud or error,,phrase,无论由于舞弊还是错误,Audit,重大错报风险说明,"whether due to fraud or error is a professional expression used in audit work, especially when assessing risks, obtaining evidence or reporting audit conclusions.",无论由于舞弊还是错误，是审计工作中的专业表达，通常用于风险评估、审计证据获取或审计结论报告。,"The directors are responsible for the preparation of consolidated financial statements that are free from material misstatement, whether due to fraud or error.",董事负责编制不存在因舞弊或错误导致的重大错报的合并财务报表。,intermediate,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 129 | example: Illust_FS(12.25).txt: line 1544 | example: isg-2026-ifs.txt: line 433,HK IPO audit deliverables,IFRS 10,Audit,4 - High,Audit
audit evidence,,phrase,审计证据,Audit evidence,审计程序和工作底稿,Information used by the auditor in arriving at the conclusions on which the audit opinion is based.,审计证据，是指审计师为形成审计意见所依据结论而使用的信息。,Our conclusions are based on the audit evidence obtained up to the date of our auditors' report.,我们的结论基于截至审计报告日所获取的审计证据。,basic,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 866 | example: Illust_FS(12.25).txt: line 13145 | example: isg-2026-ifs.txt: line 446,HK IPO audit deliverables,General IFRS/HKFRS,Audit,5 - Very high / core,Audit
sufficient appropriate audit evidence,,phrase,充分、适当的审计证据,Audit evidence,审计意见基础,Audit evidence that is adequate in quantity and appropriate in quality to support the auditor's conclusions.,充分、适当的审计证据，是指在数量上充分、质量上适当，能够支持审计师结论的审计证据。,Plan and perform the group audit to obtain sufficient appropriate audit evidence regarding the financial information of the entities or business units within the Group as a basis for forming an opinion on the group financial statements.,计划及执行集团审计工作，以获取本集团内各主体或业务单元财务信息的充分、适当的审计证据，作为对集团财务报表形成审计意见的基础。,intermediate,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 879 | example: Illust_FS(12.25).txt: line 13164 | example: isg-2026-ifs.txt: line 448,HK IPO audit deliverables,General IFRS/HKFRS,Audit,5 - Very high / core,Audit
express an audit opinion,,phrase,发表审计意见,Audit opinion,审计报告、审阅报告区别,"express an audit opinion is a professional expression used in audit work, especially when assessing risks, obtaining evidence or reporting audit conclusions.",发表审计意见，是审计工作中的专业表达，通常用于风险评估、审计证据获取或审计结论报告。,"Accordingly, we do not express an audit opinion.",因此，我们不发表审计意见。,basic,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 169 | example: HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 1642,HK IPO audit deliverables,General IFRS/HKFRS,Audit,4 - High,Audit
free from material misstatement,,phrase,不存在重大错报,Audit opinion,审计目标和管理层责任,"free from material misstatement is a professional expression used in audit work, especially when assessing risks, obtaining evidence or reporting audit conclusions.",不存在重大错报，是审计工作中的专业表达，通常用于风险评估、审计证据获取或审计结论报告。,Financial Information is free from material misstatement.,财务信息不存在重大错报。,intermediate,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 116 | example: Illust_FS(12.25).txt: line 1544 | example: HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 125,HK IPO audit deliverables,General IFRS/HKFRS,Audit,4 - High,Audit
in all material respects,,phrase,在所有重大方面,Audit opinion,审计意见和审阅结论,"in all material respects is a professional expression used in audit work, especially when assessing risks, obtaining evidence or reporting audit conclusions.",在所有重大方面，是审计工作中的专业表达，通常用于风险评估、审计证据获取或审计结论报告。,The conclusion addressed in all material respects.,该结论在所有重大方面均已得到处理。,intermediate,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 169 | example: HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 4272,HK IPO audit deliverables,IAS 1,Audit,4 - High,Audit
Independent auditor's report,,phrase,独立审计师报告,Audit opinion,年报和招股书审计报告,"Independent auditor's report is a professional expression used in valuation or fair value measurement, including inputs, techniques or measurement outcomes.",独立审计师报告，是估值或公允价值计量中的专业表达，通常涉及输入值、估值技术或计量结果。,The valuation report explains how Independent auditor's report was measured.,估值报告说明了独立审计师报告的计量方式。,basic,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 779 | example: Illust_FS(12.25).txt: line 1610,HK IPO audit deliverables,General IFRS/HKFRS,Fair value / Valuation,4 - High,Audit
reasonable assurance,,phrase,合理保证,Audit opinion,审计保证水平,"A high, but not absolute, level of assurance obtained in an audit.",合理保证，是指审计中取得的高水平但非绝对的保证。,"'Reasonable assurance' is a high level of assurance, but is not a guarantee that an audit conducted in accordance with ISAs will always detect a material misstatement when it exists.",「合理保证」是一种高水平的保证，但并非保证按照国际审计准则执行的审计在存在重大错报时总能予以发现。,basic,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 124 | example: Illust_FS(12.25).txt: line 1549 | example: isg-2026-ifs.txt: line 440,HK IPO audit deliverables,General IFRS/HKFRS,Audit,5 - Very high / core,Audit
true and fair view,,phrase,真实且公允的反映,Audit opinion,香港/英联邦审计报告意见段,A reporting conclusion that the financial statements faithfully and fairly present the entity's financial position and performance.,真实而公平地反映，是指财务报表忠实并公允地列报主体财务状况和业绩的报告结论。,Impairment testing considers evidence related to true and fair view.,减值测试会考虑与真实公允反映相关的证据。,basic,HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 113 | example: HKIPO-87. Illustrative IPO Final Deliverables (03-2024).txt: line 152 | example: Model Accounts.txt: line 575,HK IPO audit deliverables,IAS 1,Audit,5 - Very high / core,Audit
receivable,,term,应收款项,Balance sheet,unconditional right to consideration,"receivable is a professional expression used in revenue accounting, including customer contracts, performance obligations, transaction price or revenue recognition.",应收款项，是收入会计中的专业表达，通常涉及客户合同、履约义务、交易价格或收入确认。,The Group does not have trade receivable and contract assets for which no loss allowance is recognised because of collateral.,本集团并无因抵押品而未确认亏损准备的贸易应收款项及合同资产。,High,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 255; IFRS 15 | example: Illust_FS(12.25).txt: line 3159 | example: Illust_FS(12.25).txt: line 7885 | example: isg-2026-ifs.txt: line 5180,IFRS/HKFRS standards term library,IFRS 15,Revenue,5 - Very high / core,Financial reporting
borrowing costs,,phrase,借款费用,Borrowing costs,capitalisation; finance costs,"borrowing costs is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",借款费用，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Borrowing costs are capitalised on inventory that is a qualifying asset (see chapter 4.6).,借款费用资本化于作为符合资本化条件的资产的存货中（见第4.6节）。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 438; IAS 23 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 17744 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 9761,IFRS/HKFRS standards term library,IAS 23,Borrowing costs,5 - Very high / core,Financial reporting
capitalisation of borrowing costs,,phrase,借款费用资本化,Borrowing costs,PPE; inventories; intangible assets,"capitalisation of borrowing costs is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",借款费用资本化，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Disclosures explain why capitalisation of borrowing costs matters to users of the accounts.,披露内容说明了借款费用资本化为何对财务报表使用者具有重要意义。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 440; IAS 23,IFRS/HKFRS standards term library,IAS 23,Borrowing costs,3 - Medium,Financial reporting
capitalisation rate,,phrase,资本化率,Borrowing costs,general borrowings,"capitalisation rate is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",资本化率，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,"Included in this amount are capitalised borrowing costs related to the acquisition of the land and the construction of the factory of EUR 194 thousand, calculated using a capitalisation rate of 5.2 percent.","该金额中包含与购置土地及建造厂房相关的资本化借款费用194,000欧元，系按资本化率5.2%计算得出。",Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 441; IAS 23 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 17895 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 17921 | example: isg-2026-ifs.txt: line 3325,IFRS/HKFRS standards term library,IAS 23,Borrowing costs,5 - Very high / core,Financial reporting
general borrowings,,phrase,一般借款,Borrowing costs,capitalisation rate calculation,"general borrowings is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",一般借款，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Accounting policies describe the treatment of general borrowings.,会计政策说明了一般借款的会计处理方法。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 443; IAS 23 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 17874 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 17914,IFRS/HKFRS standards term library,IAS 23,Borrowing costs,5 - Very high / core,Financial reporting
qualifying asset,,phrase,符合资本化条件的资产,Borrowing costs,construction; development projects,"qualifying asset is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",符合资本化条件的资产，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Disclosures explain why qualifying asset matters to users of the accounts.,披露内容解释了符合资本化条件的资产为何对财务报表使用者具有重要意义。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 439; IAS 23 | example: isg-2026-ifs.txt: line 1023 | example: isg-2025-insights-an-overview.txt: line 1558 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 9761,IFRS/HKFRS standards term library,IAS 23,Borrowing costs,5 - Very high / core,Financial reporting
specific borrowings,,phrase,专门借款,Borrowing costs,project financing,"specific borrowings is a professional expression used in IFRS/HKFRS financial reporting, audit, valuation or disclosure contexts.",专门借款，是IFRS/HKFRS财务报告、审计、估值或披露语境中的专业表达。,Subsequent measurement determines how specific borrowings is reported.,后续计量决定了专项借款的报告方式。,Medium,IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 442; IAS 23 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 17868,IFRS/HKFRS standards term library,IAS 23,Borrowing costs,4 - High,Financial reporting
acquiree,,term,被购买方,Business combinations,IFRS 3购买法 | M&A accounting | IFRS 3,The business or entity over which the acquirer obtains control in a business combination.,被购买方，是指购买方在企业合并中取得控制权的业务或主体。,The date of acquisition is the date on which the acquirer obtains control of the acquiree.,购买日是指购买方取得对被购买方控制权的日期。,basic,isg-2025-insights-an-overview.txt: line 481 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 69; IFRS 3 | IFRS专业词汇.xlsx/Sheet1 row 170 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 4234 | example: isg-2025-insights-an-overview.txt: line 524,IFRS/HKFRS standards term library,IFRS 3,Business combinations,4 - High,Financial reporting
acquirer,,term,购买方,Business combinations,IFRS 3购买法 | M&A accounting | IFRS 3,The entity that obtains control of the acquiree in a business combination.,购买方，是指在企业合并中取得被购买方控制权的主体。,Measurement uncertainty increases when acquirer depends on estimates.,当购买方依赖估计时，计量不确定性会增加。,basic,isg-2025-insights-an-overview.txt: line 514 | IFRS_HKFRS_RAG_完整版术语库.xlsx/RAG_Terms row 68; IFRS 3 | IFRS专业词汇.xlsx/Sheet1 row 169 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 4146 | example: isg-handbook-2025-ifrs-compared-to-us-gaap.pdf.coredownload.txt: line 4488 | example: isg-2025-insights-an-overview.txt: line 524,IFRS/HKFRS standards term library,IFRS 3,Business combinations,5 - Very high / core,Financial reporting
